Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018
Ethiopia,29 000 ,18 000 , 52 000,28 000 ,17 000 , 50 000,27 000 ,16 000 , 47 000,24 000 ,14 000 , 43 000,24 000 ,15 000 , 43 000,24 000 ,14 000 , 42 000,24 000 ,14 000 , 42 000,23 000 ,14 000 , 42 000,23 000 ,14 000 , 40 000,-23
Fiji,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Finland,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,16
France,5500 ,4500 , 6600,5800 ,4800 , 7000,5800 ,4700 , 7000,6000 ,4900 , 7100,6600 ,5400 , 7900,6500 ,5300 , 7700,6400 ,5200 , 7700,6300 ,5100 , 7600,6200 ,5000 , 7500,13
Gabon,2900 ,2200 , 3900,2900 ,2100 , 3900,2800 ,2000 , 3900,2700 ,1900 , 3800,2600 ,1800 , 3800,2500 ,1700 , 3900,2300 ,1400 , 3900,2100 ,1300 , 3800,2000 ,1100 , 3900,-31
Gambia,1800 ,1400 , 2500,1900 ,1400 , 2500,1900 ,1400 , 2500,1900 ,1400 , 2600,2000 ,1500 , 2700,2000 ,1500 , 2800,2100 ,1500 , 2900,2100 ,1500 , 3100,2200 ,1500 , 3200,20
Georgia,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,-9
Germany,2900 ,2300 , 3500,2800 ,2200 , 3500,2900 ,2300 , 3600,3000 ,2300 , 3700,3000 ,2300 , 3700,2900 ,2200 , 3600,2900 ,2200 , 3500,2700 ,2000 , 3200,2600 ,1900 , 3200,-9
Ghana,22 000 ,18 000 , 26 000,21 000 ,17 000 , 26 000,21 000 ,17 000 , 25 000,21 000 ,17 000 , 26 000,21 000 ,17 000 , 26 000,21 000 ,17 000 , 27 000,21 000 ,16 000 , 26 000,20 000 ,16 000 , 26 000,20 000 ,15 000 , 26 000,-8
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Grenada,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,
Guatemala,2200 ,2100 , 2300,2100 ,2000 , 2200,2100 ,2000 , 2200,2000 ,1900 , 2100,2000 ,1900 , 2100,2100 ,2000 , 2200,2200 ,2100 , 2300,2200 ,2100 , 2400,2300 ,2200 , 2400,6
Guinea,8200 ,6800 , 9600,7900 ,6500 , 9400,7700 ,6300 , 9400,6800 ,5400 , 8700,6900 ,5400 , 8700,7400 ,5800 , 9400,7200 ,5400 , 9200,7000 ,5400 , 9300,6600 ,4800 , 8900,-19
Guinea-Bissau,3400 ,2900 , 3900,3400 ,2900 , 3800,3200 ,2700 , 3700,3000 ,2600 , 3500,2900 ,2400 , 3400,2900 ,2400 , 3400,2700 ,2200 , 3200,2600 ,2100 , 3100,2600 ,2100 , 3100,-24
Guyana,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,-20
Haiti,8800 ,7300 , 11 000,8700 ,7200 , 11 000,8400 ,6900 , 11 000,8200 ,6500 , 11 000,8100 ,6400 , 11 000,8000 ,6300 , 10 000,8000 ,6100 , 11 000,7600 ,5800 , 11 000,7300 ,5400 , 11 000,-17
Honduras,<1000 ,<1000 , 1000,<1000 ,<1000 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,7
Hungary,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,-8
Iceland,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,20
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Indonesia,63 000 ,57 000 , 68 000,62 000 ,56 000 , 67 000,60 000 ,54 000 , 66 000,58 000 ,52 000 , 63 000,55 000 ,49 000 , 59 000,52 000 ,47 000 , 56 000,49 000 ,44 000 , 53 000,48 000 ,43 000 , 52 000,46 000 ,42 000 , 50 000,-27
Iran (Islamic Republic of),5000 ,2800 , 8400,4900 ,2300 , 8800,4800 ,1900 , 9500,4700 ,1700 , 10 000,4700 ,1500 , 11 000,4600 ,1300 , 11 000,4500 ,1300 , 12 000,4400 ,1200 , 12 000,4400 ,1100 , 12 000,-12
Ireland,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,9
Israel,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,6
Italy,4600 ,3800 , 5200,4400 ,3600 , 5000,4300 ,3500 , 4800,4100 ,3300 , 4600,3900 ,3200 , 4500,3700 ,3000 , 4200,3500 ,2800 , 4000,3300 ,2600 , 3800,3100 ,2400 , 3600,-32
Jamaica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Japan,1700 ,1300 , 2100,1700 ,1300 , 2100,1700 ,1300 , 2100,1700 ,1300 , 2000,1600 ,1200 , 2000,1500 ,1200 , 1900,1500 ,1100 , 1700,1400 ,1000 , 1600,1200 ,<1000 , 1500,-28
Jordan,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,53
Kazakhstan,2000 ,1900 , 2000,2100 ,2000 , 2200,2200 ,2200 , 2300,2300 ,2300 , 2400,2400 ,2400 , 2500,2500 ,2400 , 2600,2600 ,2500 , 2700,2600 ,2500 , 2700,2600 ,2500 , 2700,35
Kenya,66 000 ,38 000 , 110 000,60 000 ,35 000 , 100 000,60 000 ,35 000 , 100 000,58 000 ,34 000 , 100 000,56 000 ,33 000 , 96 000,51 000 ,30 000 , 88 000,49 000 ,29 000 , 84 000,48 000 ,28 000 , 82 000,46 000 ,27 000 , 78 000,-30
Kuwait,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,18
Kyrgyzstan,1100 ,<1000 , 1500,1100 ,<1000 , 1500,1100 ,<1000 , 1500,<1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000,-49
Lao People's Democratic Republic,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,-43
Latvia,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,-7
Lebanon,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,29
Lesotho,20 000 ,18 000 , 21 000,19 000 ,16 000 , 20 000,19 000 ,16 000 , 20 000,18 000 ,16 000 , 20 000,17 000 ,15 000 , 19 000,17 000 ,15 000 , 18 000,16 000 ,14 000 , 17 000,14 000 ,13 000 , 16 000,13 000 ,11 000 , 15 000,-34
Liberia,2700 ,2600 , 2800,2600 ,2400 , 2700,2500 ,2400 , 2600,2500 ,2400 , 2600,2400 ,2300 , 2500,2300 ,2200 , 2400,2200 ,2100 , 2300,2100 ,2000 , 2200,1900 ,1800 , 2000,-31
Libya,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,-43
Lithuania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Luxembourg,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,15
Madagascar,2100 ,1700 , 2600,2300 ,1900 , 3000,2700 ,2200 , 3400,3100 ,2400 , 4000,3500 ,2700 , 4600,4000 ,2900 , 5600,4500 ,3200 , 7000,5200 ,3500 , 8800,6100 ,3800 , 11 000,193
Malawi,55 000 ,51 000 , 59 000,52 000 ,48 000 , 56 000,49 000 ,45 000 , 53 000,47 000 ,43 000 , 52 000,45 000 ,41 000 , 50 000,44 000 ,40 000 , 48 000,43 000 ,38 000 , 47 000,40 000 ,36 000 , 46 000,38 000 ,33 000 , 45 000,-30
Malaysia,5400 ,4900 , 5900,5400 ,4800 , 5800,5400 ,4900 , 5900,5400 ,4900 , 5900,5400 ,4800 , 5800,5200 ,4700 , 5700,5400 ,4800 , 5800,5300 ,4800 , 5800,5600 ,5100 , 6100,4
Maldives,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Mali,9400 ,7300 , 12 000,9600 ,7400 , 13 000,10 000 ,7800 , 13 000,11 000 ,8300 , 14 000,11 000 ,8600 , 15 000,12 000 ,9100 , 16 000,13 000 ,9900 , 17 000,13 000 ,10 000 , 19 000,14 000 ,11 000 , 20 000,51
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Mauritania,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,-47
Mauritius,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,-7
Mexico,11 000 ,8800 , 13 000,11 000 ,8800 , 13 000,11 000 ,8800 , 14 000,11 000 ,8600 , 13 000,11 000 ,8500 , 14 000,11 000 ,8400 , 14 000,11 000 ,8200 , 14 000,11 000 ,7900 , 14 000,11 000 ,7600 , 14 000,
Mongolia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,-12
Montenegro,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,129
Morocco,1200 ,<1000 , 1800,1200 ,<1000 , 1800,1100 ,<1000 , 1700,1100 ,<1000 , 1700,1100 ,<1000 , 1600,1000 ,<1000 , 1600,<1000 ,<1000 , 1500,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,-25
Mozambique,160 000 ,97 000 , 240 000,150 000 ,96 000 , 240 000,150 000 ,95 000 , 240 000,150 000 ,95 000 , 240 000,150 000 ,94 000 , 230 000,150 000 ,93 000 , 230 000,150 000 ,93 000 , 230 000,150 000 ,91 000 , 230 000,150 000 ,90 000 , 220 000,-7
