Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Bosnia and Herzegovina,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Botswana,16 000 ,14 000 , 19 000,22 000 ,20 000 , 25 000,27 000 ,26 000 , 31 000,32 000 ,30 000 , 36 000,36 000 ,33 000 , 39 000,37 000 ,34 000 , 41 000,37 000 ,34 000 , 41 000,35 000 ,32 000 , 39 000,33 000 ,29 000 , 36 000,30 000 ,27 000 , 32 000,27 000 ,24 000 , 29 000,24 000 ,22 000 , 26 000,23 000 ,21 000 , 24 000,21 000 ,20 000 , 22 000,19 000 ,18 000 , 21 000,18 000 ,16 000 , 19 000,16 000 ,15 000 , 18 000,16 000 ,14 000 , 17 000,15 000 ,14 000 , 16 000,14 000 ,13 000 , 15 000,13 000 ,12 000 , 14 000,13 000 ,12 000 , 14 000,12 000 ,10 000 , 13 000,11 000 ,9500 , 12 000,11 000 ,9300 , 12 000,10 000 ,9000 , 11 000,9700 ,8300 , 11 000,9000 ,7600 , 10 000,8500 ,7000 , 10 000
Brazil,35 000 ,28 000 , 43 000,38 000 ,30 000 , 46 000,40 000 ,32 000 , 49 000,42 000 ,33 000 , 51 000,44 000 ,34 000 , 53 000,45 000 ,35 000 , 55 000,46 000 ,36 000 , 56 000,49 000 ,38 000 , 59 000,50 000 ,39 000 , 61 000,51 000 ,40 000 , 62 000,51 000 ,40 000 , 62 000,50 000 ,39 000 , 62 000,49 000 ,39 000 , 60 000,47 000 ,37 000 , 58 000,41 000 ,32 000 , 51 000,42 000 ,33 000 , 51 000,42 000 ,33 000 , 51 000,43 000 ,33 000 , 52 000,43 000 ,34 000 , 53 000,43 000 ,34 000 , 53 000,44 000 ,34 000 , 54 000,44 000 ,35 000 , 54 000,45 000 ,35 000 , 55 000,45 000 ,36 000 , 56 000,48 000 ,37 000 , 59 000,48 000 ,38 000 , 59 000,50 000 ,39 000 , 62 000,51 000 ,40 000 , 63 000,53 000 ,42 000 , 65 000
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500
Burkina Faso,21 000 ,13 000 , 30 000,20 000 ,14 000 , 29 000,18 000 ,14 000 , 25 000,17 000 ,13 000 , 22 000,15 000 ,12 000 , 20 000,14 000 ,11 000 , 18 000,12 000 ,9500 , 15 000,12 000 ,9500 , 15 000,11 000 ,8900 , 13 000,10 000 ,8400 , 12 000,9500 ,7800 , 11 000,8900 ,7300 , 11 000,8400 ,6800 , 10 000,7800 ,6300 , 9500,7400 ,5900 , 9000,6900 ,5300 , 8500,6500 ,5000 , 8100,5900 ,4400 , 7500,5600 ,4200 , 7200,5000 ,3700 , 6600,4600 ,3400 , 6000,4500 ,3300 , 5800,3900 ,2800 , 5300,3700 ,2600 , 5100,3200 ,2200 , 4600,2800 ,1900 , 4100,2600 ,1800 , 3800,2400 ,1700 , 3600,2400 ,1600 , 3700
Burundi,24 000 ,14 000 , 35 000,24 000 ,16 000 , 32 000,22 000 ,16 000 , 28 000,20 000 ,16 000 , 26 000,18 000 ,14 000 , 23 000,16 000 ,13 000 , 21 000,14 000 ,11 000 , 18 000,12 000 ,9800 , 15 000,11 000 ,8900 , 13 000,9600 ,8000 , 12 000,8500 ,7100 , 10 000,7900 ,6700 , 9400,6900 ,5800 , 8300,6500 ,5300 , 7700,6000 ,4900 , 7200,5500 ,4400 , 6700,5100 ,4200 , 6300,4900 ,3800 , 6000,4500 ,3500 , 5600,4200 ,3200 , 5400,3700 ,2700 , 4900,3500 ,2600 , 4700,3200 ,2400 , 4400,3000 ,2200 , 4100,2800 ,2000 , 3800,2400 ,1700 , 3400,2000 ,1400 , 3100,1800 ,1200 , 2900,1700 ,1000 , 2800
Cabo Verde,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200
Cambodia,<100 ,<100 , <100,<500 ,<500 , <500,1100 ,<1000 , 1100,3200 ,2900 , 3500,7200 ,6500 , 7800,12 000 ,11 000 , 13 000,15 000 ,14 000 , 17 000,16 000 ,15 000 , 18 000,15 000 ,14 000 , 17 000,13 000 ,12 000 , 14 000,11 000 ,9700 , 12 000,8200 ,7300 , 8900,7000 ,6300 , 7700,6300 ,5700 , 6900,5600 ,5100 , 6100,4900 ,4400 , 5400,4300 ,3800 , 4700,3600 ,3300 , 4000,3200 ,2800 , 3500,2700 ,2500 , 3100,2300 ,2100 , 2600,1900 ,1700 , 2200,1800 ,1600 , 2000,1600 ,1400 , 1800,1400 ,1300 , 1600,1300 ,1200 , 1500,1200 ,1100 , 1400,1000 ,<1000 , 1200,<1000 ,<1000 , <1000
Cameroon,16 000 ,14 000 , 19 000,21 000 ,18 000 , 24 000,26 000 ,22 000 , 31 000,33 000 ,28 000 , 38 000,39 000 ,34 000 , 46 000,45 000 ,40 000 , 52 000,50 000 ,44 000 , 58 000,55 000 ,49 000 , 63 000,57 000 ,51 000 , 66 000,57 000 ,51 000 , 65 000,55 000 ,49 000 , 62 000,54 000 ,47 000 , 59 000,51 000 ,45 000 , 57 000,47 000 ,43 000 , 52 000,45 000 ,42 000 , 50 000,44 000 ,40 000 , 48 000,42 000 ,38 000 , 46 000,41 000 ,37 000 , 45 000,40 000 ,36 000 , 44 000,39 000 ,35 000 , 43 000,36 000 ,32 000 , 39 000,35 000 ,32 000 , 38 000,33 000 ,29 000 , 37 000,31 000 ,27 000 , 34 000,30 000 ,26 000 , 34 000,28 000 ,24 000 , 32 000,27 000 ,23 000 , 31 000,25 000 ,21 000 , 29 000,23 000 ,19 000 , 28 000
