Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Ghana,24 000 ,19 000 , 30 000,27 000 ,22 000 , 33 000,31 000 ,26 000 , 36 000,32 000 ,27 000 , 37 000,33 000 ,28 000 , 39 000,33 000 ,28 000 , 38 000,32 000 ,27 000 , 38 000,31 000 ,25 000 , 36 000,29 000 ,24 000 , 34 000,28 000 ,23 000 , 33 000,27 000 ,23 000 , 31 000,26 000 ,22 000 , 30 000,25 000 ,21 000 , 29 000,25 000 ,21 000 , 29 000,24 000 ,21 000 , 28 000,24 000 ,20 000 , 28 000,23 000 ,20 000 , 28 000,23 000 ,19 000 , 27 000,22 000 ,18 000 , 26 000,22 000 ,19 000 , 26 000,22 000 ,18 000 , 26 000,21 000 ,17 000 , 26 000,21 000 ,17 000 , 25 000,21 000 ,17 000 , 26 000,21 000 ,17 000 , 26 000,21 000 ,17 000 , 27 000,21 000 ,16 000 , 26 000,20 000 ,16 000 , 26 000,20 000 ,15 000 , 26 000
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Grenada,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Guatemala,3300 ,3100 , 3600,3900 ,3600 , 4200,4200 ,3900 , 4600,4500 ,4200 , 4900,4800 ,4400 , 5300,5300 ,4900 , 5800,5500 ,5000 , 6000,5600 ,5100 , 6000,5700 ,5200 , 6100,5600 ,5100 , 6000,5500 ,5200 , 5900,5000 ,4700 , 5300,4500 ,4200 , 4800,4000 ,3800 , 4300,3800 ,3600 , 4000,3300 ,3100 , 3500,2800 ,2700 , 3000,2700 ,2600 , 2800,2500 ,2400 , 2700,2500 ,2400 , 2600,2200 ,2100 , 2300,2100 ,2000 , 2200,2100 ,2000 , 2200,2000 ,1900 , 2100,2000 ,1900 , 2100,2100 ,2000 , 2200,2200 ,2100 , 2300,2200 ,2100 , 2400,2300 ,2200 , 2400
Guinea,5300 ,3200 , 8500,6100 ,3900 , 9500,7300 ,4800 , 10 000,8200 ,5600 , 11 000,9500 ,6800 , 12 000,10 000 ,7600 , 13 000,10 000 ,7800 , 13 000,11 000 ,8400 , 13 000,11 000 ,8700 , 13 000,11 000 ,8700 , 13 000,10 000 ,8800 , 13 000,10 000 ,8500 , 12 000,9900 ,8300 , 12 000,9500 ,8000 , 11 000,9300 ,8000 , 11 000,9000 ,7700 , 10 000,9100 ,7800 , 11 000,8400 ,7100 , 10 000,8700 ,7300 , 10 000,8400 ,7200 , 10 000,8200 ,6800 , 9600,7900 ,6500 , 9400,7700 ,6300 , 9400,6800 ,5400 , 8700,6900 ,5400 , 8700,7400 ,5800 , 9400,7200 ,5400 , 9200,7000 ,5400 , 9300,6600 ,4800 , 8900
Guinea-Bissau,<1000 ,<1000 , <1000,1100 ,<1000 , 1300,1500 ,1200 , 1700,1900 ,1600 , 2200,2400 ,2000 , 2800,2800 ,2400 , 3200,3200 ,2800 , 3700,3500 ,3000 , 4000,3700 ,3200 , 4200,3800 ,3300 , 4400,3800 ,3300 , 4500,3800 ,3300 , 4400,3900 ,3400 , 4500,3800 ,3300 , 4400,3800 ,3200 , 4400,3700 ,3100 , 4200,3600 ,3000 , 4100,3600 ,3100 , 4100,3600 ,3100 , 4100,3500 ,3000 , 4000,3400 ,2900 , 3900,3400 ,2900 , 3800,3200 ,2700 , 3700,3000 ,2600 , 3500,2900 ,2400 , 3400,2900 ,2400 , 3400,2700 ,2200 , 3200,2600 ,2100 , 3100,2600 ,2100 , 3100
Guyana,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Haiti,21 000 ,17 000 , 27 000,21 000 ,17 000 , 26 000,19 000 ,15 000 , 25 000,18 000 ,14 000 , 22 000,16 000 ,13 000 , 21 000,15 000 ,12 000 , 19 000,14 000 ,11 000 , 18 000,14 000 ,11 000 , 17 000,13 000 ,10 000 , 16 000,12 000 ,10 000 , 16 000,12 000 ,9900 , 15 000,11 000 ,9400 , 14 000,11 000 ,9300 , 14 000,11 000 ,8800 , 13 000,10 000 ,8500 , 13 000,10 000 ,8300 , 12 000,9500 ,8000 , 12 000,9000 ,7600 , 11 000,8800 ,7400 , 11 000,8700 ,7200 , 11 000,8800 ,7300 , 11 000,8700 ,7200 , 11 000,8400 ,6900 , 11 000,8200 ,6500 , 11 000,8100 ,6400 , 11 000,8000 ,6300 , 10 000,8000 ,6100 , 11 000,7600 ,5800 , 11 000,7300 ,5400 , 11 000
Honduras,5900 ,4200 , 8100,5500 ,4100 , 7300,5700 ,4300 , 7200,5200 ,4100 , 6500,4200 ,3400 , 5200,3700 ,2900 , 4600,3300 ,2600 , 4200,3200 ,2300 , 4000,2300 ,1700 , 3000,1800 ,1300 , 2400,1600 ,1100 , 2200,1500 ,1000 , 2000,1200 ,<1000 , 1700,1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100
Hungary,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Iceland,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Indonesia,<200 ,<200 , <500,<500 ,<500 , <500,<1000 ,<1000 , <1000,1500 ,1300 , 1600,2700 ,2500 , 3000,4900 ,4400 , 5400,8100 ,7300 , 8700,11 000 ,10 000 , 12 000,15 000 ,13 000 , 16 000,18 000 ,16 000 , 20 000,24 000 ,21 000 , 26 000,32 000 ,29 000 , 35 000,44 000 ,40 000 , 48 000,53 000 ,48 000 , 58 000,58 000 ,52 000 , 63 000,62 000 ,56 000 , 68 000,65 000 ,59 000 , 71 000,65 000 ,59 000 , 71 000,63 000 ,57 000 , 68 000,63 000 ,57 000 , 69 000,63 000 ,57 000 , 68 000,62 000 ,56 000 , 67 000,60 000 ,54 000 , 66 000,58 000 ,52 000 , 63 000,55 000 ,49 000 , 59 000,52 000 ,47 000 , 56 000,49 000 ,44 000 , 53 000,48 000 ,43 000 , 52 000,46 000 ,42 000 , 50 000
Iran (Islamic Republic of),<500 ,<200 , 2400,<500 ,<200 , 2300,<500 ,<200 , 2400,<1000 ,<500 , 2200,<1000 ,<500 , 2000,<1000 ,<500 , 3400,1400 ,<1000 , 5200,2300 ,<1000 , 6900,2700 ,1100 , 6400,3400 ,1600 , 7200,4500 ,2300 , 7800,5000 ,2900 , 8300,5200 ,3400 , 8000,5500 ,3800 , 8200,5700 ,4000 , 8800,5900 ,4200 , 8500,5400 ,3900 , 7900,5700 ,3900 , 8100,5500 ,3700 , 7800,5300 ,3400 , 8200,5000 ,2800 , 8400,4900 ,2300 , 8800,4800 ,1900 , 9500,4700 ,1700 , 10 000,4700 ,1500 , 11 000,4600 ,1300 , 11 000,4500 ,1300 , 12 000,4400 ,1200 , 12 000,4400 ,1100 , 12 000
Ireland,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500
Israel,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500
Italy,4800 ,4100 , 5500,4500 ,3800 , 5100,4400 ,3800 , 5000,4600 ,3900 , 5200,4700 ,4000 , 5300,4800 ,4100 , 5500,4900 ,4100 , 5500,4900 ,4200 , 5600,5000 ,4200 , 5600,5000 ,4300 , 5700,5000 ,4300 , 5700,5000 ,4300 , 5700,5000 ,4300 , 5700,5000 ,4200 , 5700,5000 ,4200 , 5700,5000 ,4200 , 5700,5000 ,4100 , 5600,4900 ,4100 , 5600,4800 ,4000 , 5500,4700 ,3900 , 5300,4600 ,3800 , 5200,4400 ,3600 , 5000,4300 ,3500 , 4800,4100 ,3300 , 4600,3900 ,3200 , 4500,3700 ,3000 , 4200,3500 ,2800 , 4000,3300 ,2600 , 3800,3100 ,2400 , 3600
Jamaica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Japan,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1100,1000 ,<1000 , 1200,1200 ,<1000 , 1300,1300 ,<1000 , 1500,1400 ,1000 , 1600,1500 ,1100 , 1700,1600 ,1200 , 1900,1600 ,1200 , 1900,1700 ,1300 , 2000,1700 ,1300 , 2100,1700 ,1300 , 2100,1700 ,1300 , 2100,1700 ,1300 , 2100,1700 ,1300 , 2000,1600 ,1200 , 2000,1500 ,1200 , 1900,1500 ,1100 , 1700,1400 ,1000 , 1600,1200 ,<1000 , 1500
Jordan,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Kazakhstan,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1000,1300 ,1200 , 1300,1400 ,1400 , 1500,1600 ,1500 , 1600,1800 ,1700 , 1800,2000 ,1900 , 2000,2100 ,2000 , 2200,2200 ,2200 , 2300,2300 ,2300 , 2400,2400 ,2400 , 2500,2500 ,2400 , 2600,2600 ,2500 , 2700,2600 ,2500 , 2700,2600 ,2500 , 2700
Kenya,190 000 ,110 000 , 330 000,230 000 ,130 000 , 390 000,240 000 ,140 000 , 420 000,240 000 ,140 000 , 420 000,230 000 ,140 000 , 400 000,210 000 ,120 000 , 360 000,190 000 ,110 000 , 320 000,170 000 ,98 000 , 290 000,150 000 ,89 000 , 260 000,140 000 ,81 000 , 240 000,130 000 ,75 000 , 220 000,120 000 ,71 000 , 210 000,110 000 ,67 000 , 190 000,110 000 ,63 000 , 180 000,100 000 ,61 000 , 180 000,97 000 ,57 000 , 170 000,90 000 ,53 000 , 150 000,85 000 ,50 000 , 150 000,75 000 ,44 000 , 130 000,72 000 ,42 000 , 120 000,66 000 ,38 000 , 110 000,60 000 ,35 000 , 100 000,60 000 ,35 000 , 100 000,58 000 ,34 000 , 100 000,56 000 ,33 000 , 96 000,51 000 ,30 000 , 88 000,49 000 ,29 000 , 84 000,48 000 ,28 000 , 82 000,46 000 ,27 000 , 78 000
Kuwait,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Kyrgyzstan,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1200,1100 ,<1000 , 1500,1100 ,<1000 , 1500,1100 ,<1000 , 1500,<1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Lao People's Democratic Republic,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<200 ,<200 , <200,<500 ,<500 , <500,<500 ,<500 , <500,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,1100 ,<1000 , 1100,1200 ,1000 , 1300,1200 ,1100 , 1300,1200 ,1100 , 1300,1200 ,1100 , 1300,1200 ,1000 , 1300,1100 ,1000 , 1200,1100 ,<1000 , 1200,1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000
Latvia,<100 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<1000 ,<1000 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500
Lebanon,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200
Lesotho,12 000 ,9300 , 15 000,16 000 ,13 000 , 20 000,22 000 ,18 000 , 26 000,28 000 ,24 000 , 32 000,33 000 ,28 000 , 39 000,38 000 ,32 000 , 43 000,40 000 ,35 000 , 46 000,40 000 ,35 000 , 46 000,38 000 ,34 000 , 44 000,36 000 ,32 000 , 42 000,33 000 ,30 000 , 38 000,30 000 ,27 000 , 35 000,28 000 ,25 000 , 32 000,26 000 ,23 000 , 30 000,24 000 ,21 000 , 27 000,23 000 ,20 000 , 26 000,22 000 ,20 000 , 25 000,22 000 ,20 000 , 24 000,22 000 ,20 000 , 24 000,21 000 ,19 000 , 23 000,20 000 ,18 000 , 21 000,19 000 ,16 000 , 20 000,19 000 ,16 000 , 20 000,18 000 ,16 000 , 20 000,17 000 ,15 000 , 19 000,17 000 ,15 000 , 18 000,16 000 ,14 000 , 17 000,14 000 ,13 000 , 16 000,13 000 ,11 000 , 15 000
Liberia,4800 ,4500 , 5200,6000 ,5800 , 6300,4700 ,4200 , 5300,4500 ,4100 , 5000,4200 ,3800 , 4700,4000 ,3600 , 4500,3700 ,3400 , 4200,3600 ,3100 , 3700,4300 ,4200 , 4500,4200 ,4100 , 4400,4000 ,3900 , 4200,3900 ,3700 , 4000,3600 ,3500 , 3800,3400 ,3200 , 3500,3200 ,3100 , 3300,3100 ,2900 , 3200,3000 ,2800 , 3100,2800 ,2600 , 2900,2800 ,2700 , 3000,2800 ,2600 , 2900,2700 ,2600 , 2800,2600 ,2400 , 2700,2500 ,2400 , 2600,2500 ,2400 , 2600,2400 ,2300 , 2500,2300 ,2200 , 2400,2200 ,2100 , 2300,2100 ,2000 , 2200,1900 ,1800 , 2000
Libya,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Lithuania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Luxembourg,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Madagascar,<500 ,<100 , <1000,<500 ,<100 , 1000,<1000 ,<200 , 1400,<1000 ,<500 , 2000,1000 ,<500 , 2400,1300 ,<1000 , 2700,1600 ,<1000 , 3000,1900 ,1000 , 3200,2200 ,1400 , 3300,2300 ,1700 , 3300,2300 ,1700 , 3100,2200 ,1700 , 2900,2200 ,1700 , 2700,2000 ,1500 , 2600,1900 ,1400 , 2400,1700 ,1300 , 2200,1700 ,1300 , 2100,1700 ,1300 , 2100,1700 ,1400 , 2100,1900 ,1500 , 2300,2100 ,1700 , 2600,2300 ,1900 , 3000,2700 ,2200 , 3400,3100 ,2400 , 4000,3500 ,2700 , 4600,4000 ,2900 , 5600,4500 ,3200 , 7000,5200 ,3500 , 8800,6100 ,3800 , 11 000
Malawi,89 000 ,79 000 , 100 000,99 000 ,89 000 , 110 000,100 000 ,94 000 , 120 000,100 000 ,94 000 , 120 000,100 000 ,90 000 , 110 000,97 000 ,88 000 , 110 000,93 000 ,83 000 , 100 000,90 000 ,81 000 , 98 000,87 000 ,79 000 , 94 000,82 000 ,76 000 , 88 000,79 000 ,72 000 , 83 000,76 000 ,70 000 , 81 000,73 000 ,69 000 , 78 000,71 000 ,67 000 , 76 000,69 000 ,64 000 , 73 000,66 000 ,61 000 , 71 000,63 000 ,59 000 , 68 000,60 000 ,56 000 , 65 000,56 000 ,52 000 , 60 000,55 000 ,51 000 , 60 000,55 000 ,51 000 , 59 000,52 000 ,48 000 , 56 000,49 000 ,45 000 , 53 000,47 000 ,43 000 , 52 000,45 000 ,41 000 , 50 000,44 000 ,40 000 , 48 000,43 000 ,38 000 , 47 000,40 000 ,36 000 , 46 000,38 000 ,33 000 , 45 000
Malaysia,5200 ,4600 , 5600,7900 ,7100 , 8600,8900 ,8000 , 9700,8000 ,7200 , 8700,6800 ,6100 , 7400,6100 ,5400 , 6600,5800 ,5200 , 6300,5800 ,5200 , 6300,5900 ,5300 , 6500,6100 ,5500 , 6600,6300 ,5600 , 6800,6400 ,5800 , 7000,6200 ,5600 , 6700,6000 ,5400 , 6600,5900 ,5300 , 6400,5800 ,5200 , 6300,5700 ,5200 , 6200,5700 ,5100 , 6200,5600 ,5000 , 6100,5600 ,5000 , 6100,5400 ,4900 , 5900,5400 ,4800 , 5800,5400 ,4900 , 5900,5400 ,4900 , 5900,5400 ,4800 , 5800,5200 ,4700 , 5700,5400 ,4800 , 5800,5300 ,4800 , 5800,5600 ,5100 , 6100
Maldives,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
